split,img_id,image_path,question,answer,question_type,answer_type,orig_height,orig_width,pred_blip
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720,yes
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720,eye
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720,large
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Have all polyps been removed?,not relevant,,,576,720,bottom
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Is this finding easy to detect?,yes,,,576,720,yes
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Is there a green/black box artefact?,no,,,576,720,eye surgery
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Is there text?,yes,,,576,720,upper left
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,What type of polyp is present?,none,,,576,720,no
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720,0
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,What is the size of the polyp?,none,,,576,720,lower left
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,How many findings are present?,1,,,576,720,orange
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,How many polyps are in the image?,0,,,576,720,yes
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Where in the image is the instrument?,none,,,576,720,yes
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720,eye surgery
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,Where in the image is the anatomical landmark?,none,,,576,720,bottom
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,How many instrumnets are in the image?,0,,,576,720,yes
raw,cla820gl0s3nv071u4fgd7xgq,out/images/raw/cla820gl0s3nv071u4fgd7xgq.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720,yes
raw,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,Is there text?,yes,,,576,720,eye surgery
